STATE,MAILCODE,NOEXCH,HOMEOWNR,GENDER,DATASRCE,PETS,LIFESRC,PEPSTRFL,RFA_2R,RFA_2A,GEOCODE2,DOMAIN_A,DOMAIN_B
IL,A,0,U,F,0,N,0,X,L,E,C,T,2
CA,A,0,H,M,3,N,0,No,L,G,A,S,1
NC,A,0,U,M,3,N,0,X,L,E,C,R,2
CA,A,0,U,F,3,N,0,X,L,E,C,R,2
FL,A,0,H,F,3,N,3,No,L,F,A,S,2
other,A,0,U,F,0,N,0,X,L,F,C,T,2
IN,A,0,H,F,3,Y,3,X,L,E,D,T,2
other,A,0,U,F,1,N,0,No,L,E,C,T,2
other,A,0,U,M,3,N,0,X,L,F,D,R,2
other,A,0,U,M,0,N,0,No,L,F,B,T,1
other,A,0,U,F,1,N,0,No,L,F,D,R,3
IN,A,0,U,M,3,N,0,No,L,F,B,S,2
other,A,0,H,F,3,N,1,X,L,D,D,R,3
other,A,0,U,M,0,N,0,X,L,G,B,T,2
other,A,0,H,M,3,N,0,No,L,F,D,T,1
CA,A,0,H,M,1,N,0,No,L,F,A,U,1
MI,A,0,U,M,3,N,2,No,L,F,A,S,2
IL,A,0,U,F,2,N,0,No,L,G,C,R,2
FL,B,0,H,F,3,N,0,X,L,F,B,S,2
NC,A,0,U,M,0,N,0,No,L,F,C,C,2
other,A,0,H,F,3,N,2,X,L,D,A,S,1
MI,A,0,U,M,3,N,2,No,L,G,C,R,2
FL,A,0,U,F,0,N,0,No,L,G,C,T,2
IL,A,0,U,F,0,N,0,X,L,E,A,C,1
other,A,0,H,F,3,N,0,No,L,E,A,T,1
CA,A,0,H,M,3,N,1,No,L,F,B,T,1
IL,A,0,H,F,2,N,0,No,L,G,A,S,1
MO,A,0,H,M,3,N,0,X,L,E,D,T,1
TX,A,0,H,F,3,N,0,X,L,E,A,T,1
IL,A,0,U,F,3,N,0,No,L,E,A,T,2
TX,A,0,U,M,0,N,0,No,L,D,A,T,1
MO,A,0,H,M,3,N,0,No,L,F,A,U,3
NC,A,0,U,F,3,N,0,No,L,G,B,C,2
FL,A,0,U,F,3,N,0,No,L,F,A,S,1
other,A,0,U,F,0,N,0,X,L,F,B,R,2
other,A,0,U,M,0,N,0,X,L,F,C,R,1
TX,A,0,H,M,3,N,0,No,L,G,B,S,1
CA,A,0,U,F,3,N,0,X,L,G,A,S,1
other,A,0,H,F,2,N,1,No,L,F,A,S,2
other,A,0,H,F,3,N,1,X,L,G,D,T,2
IL,A,0,U,F,0,N,0,X,L,G,B,C,2
MI,A,0,U,F,0,N,2,X,L,E,B,U,1
WA,A,0,H,M,3,N,0,No,L,F,A,S,1
FL,A,0,H,M,3,N,1,No,L,F,A,T,1
WI,A,0,H,F,3,N,3,X,L,F,B,S,2
other,A,0,H,F,3,N,3,X,L,D,C,C,1
other,A,0,U,F,2,N,2,X,L,E,C,R,2
IN,A,0,H,M,2,Y,3,No,L,F,C,T,1
WA,A,0,U,M,0,N,0,No,L,F,A,U,2
TX,A,0,H,M,2,N,0,No,L,F,C,C,3
IL,A,0,U,F,2,N,0,X,L,F,B,R,2
NC,A,0,H,F,3,N,0,No,L,F,B,C,3
NC,A,0,H,F,2,Y,2,X,L,D,B,C,2
FL,A,0,H,F,3,N,1,X,L,E,A,S,2
IL,A,0,H,M,2,N,0,No,L,F,C,T,2
CA,A,0,U,F,0,N,2,No,L,G,A,R,2
CA,A,0,U,F,2,Y,2,X,L,E,A,U,1
